Year,Female_1 year,Female_10 years,Female_11 years,Female_12 years,Female_13 years,Female_14 years,Female_15 years,Female_16 years,Female_17 years,Female_18 years,Female_19 years,Female_2 years,Female_20 years,Female_21 years,Female_22 years,Female_23 years,Female_24 years,Female_25 years,Female_26 years,Female_27 years,Female_28 years,Female_29 years,Female_3 years,Female_30 years,Female_31 years,Female_32 years,Female_33 years,Female_34 years,Female_35 years,Female_36 years,Female_37 years,Female_38 years,Female_39 years,Female_4 years,Female_40 years,Female_41 years,Female_42 years,Female_43 years,Female_44 years,Female_45 years,Female_46 years,Female_47 years,Female_48 years,Female_49 years,Female_5 years,Female_50 years,Female_51 years,Female_52 years,Female_53 years,Female_54 years,Female_55 years,Female_56 years,Female_57 years,Female_58 years,Female_59 years,Female_6 years,Female_60 years,Female_61 years,Female_62 years,Female_63 years,Female_64 years,Female_65 years,Female_66 years,Female_67 years,Female_68 years,Female_69 years,Female_7 years,Female_70 years,Female_71 years,Female_72 years,Female_73 years,Female_74 years,Female_75 years,Female_76 years,Female_77 years,Female_78 years,Female_79 years,Female_8 years,Female_80 years,Female_81 years,Female_82 years,Female_83 years,Female_84 years,Female_85 years,Female_86 years,Female_87 years,Female_88 years,Female_89 years,Female_9 years,Female_90 years,Female_91 years,Female_92 years,Female_93 years,Female_94 years,Female_95 years,Female_96 years,Female_97 years,Female_98 years,Female_99 years and over,Female_Under 1 year,Male_1 year,Male_10 years,Male_11 years,Male_12 years,Male_13 years,Male_14 years,Male_15 years,Male_16 years,Male_17 years,Male_18 years,Male_19 years,Male_2 years,Male_20 years,Male_21 years,Male_22 years,Male_23 years,Male_24 years,Male_25 years,Male_26 years,Male_27 years,Male_28 years,Male_29 years,Male_3 years,Male_30 years,Male_31 years,Male_32 years,Male_33 years,Male_34 years,Male_35 years,Male_36 years,Male_37 years,Male_38 years,Male_39 years,Male_4 years,Male_40 years,Male_41 years,Male_42 years,Male_43 years,Male_44 years,Male_45 years,Male_46 years,Male_47 years,Male_48 years,Male_49 years,Male_5 years,Male_50 years,Male_51 years,Male_52 years,Male_53 years,Male_54 years,Male_55 years,Male_56 years,Male_57 years,Male_58 years,Male_59 years,Male_6 years,Male_60 years,Male_61 years,Male_62 years,Male_63 years,Male_64 years,Male_65 years,Male_66 years,Male_67 years,Male_68 years,Male_69 years,Male_7 years,Male_70 years,Male_71 years,Male_72 years,Male_73 years,Male_74 years,Male_75 years,Male_76 years,Male_77 years,Male_78 years,Male_79 years,Male_8 years,Male_80 years,Male_81 years,Male_82 years,Male_83 years,Male_84 years,Male_85 years,Male_86 years,Male_87 years,Male_88 years,Male_89 years,Male_9 years,Male_90 years,Male_91 years,Male_92 years,Male_93 years,Male_94 years,Male_95 years,Male_96 years,Male_97 years,Male_98 years,Male_99 years and over,Male_Under 1 year,Cluster
1996,23611,29942,30186,31501,33098,33983,34848,34816,33947,31746,30229,23766,29849,29452,28783,28467,27660,26956,26258,25228,25463,25777,24558,26276,26947,26919,26819,26233,26952,26117,25356,25660,25451,26096,24668,24733,23933,24317,22726,22591,22879,22718,22003,21393,26662,20962,19119,18187,17801,15760,15372,15822,15392,14481,14931,26922,14572,14040,13673,13694,13277,13505,13496,13174,13100,13278,26758,13063,12824,12469,12512,11550,11480,10797,9657,8236,8699,28115,7907,7833,7092,6389,5476,4862,4026,3253,2608,2240,29151,1822,1398,1117,841,572,467,268,183,117,319,23623,24963,31476,32124,33186,34820,35771,36884,37068,34985,33339,31674,25245,31424,30767,29618,29296,28038,27370,26355,25412,24825,25401,26005,25253,25652,25788,25788,25254,26017,25304,24901,24826,25092,27296,24451,24627,23672,24333,22981,22930,22719,22942,22774,22451,28501,21653,19579,18881,17991,16714,15963,16416,15717,14698,15015,28271,14532,13920,13757,13438,13043,12982,12722,11994,11269,11289,28190,10853,10615,10084,9669,8903,8677,7953,6953,5842,5803,29196,5285,4781,4107,3652,3249,2542,1975,1498,1154,894,31177,695,562,348,270,208,132,94,57,25,116,25231,1
1997,23986,29322,29989,30335,31584,33248,34040,34827,34915,33050,30736,23833,30318,29920,29200,28170,28271,28040,27175,26370,25417,25458,24109,25975,26766,27676,27261,27500,26618,27319,26592,25714,25789,25007,25670,24868,24920,24126,24451,22857,22716,22903,22813,22087,26345,21461,20969,19186,18106,17832,15761,15333,15869,15476,14453,26901,14934,14521,14097,13582,13622,13240,13378,13371,13004,12857,27168,13059,12777,12538,12098,12127,11081,10972,10355,9197,7787,27018,8155,7327,7179,6455,5824,4883,4255,3564,2780,2177,28274,1894,1469,1076,830,680,393,347,173,114,240,24414,25610,31329,31729,32206,33264,35019,35726,36823,37137,33986,32507,25203,31100,31303,30518,29345,29005,28436,27052,26019,25575,24872,25580,25307,25698,26190,26390,26348,25907,26516,25746,25275,25238,26209,25359,24766,24740,23785,24677,23112,22881,22945,23105,22806,27536,22523,21801,19560,18860,18024,16656,15792,16392,15686,14666,28594,14929,14591,13785,13578,13307,12874,12756,12535,11745,10963,28508,10907,10431,10061,9617,9215,8413,8099,7401,6381,5336,28184,5277,4709,4183,3537,3190,2757,2095,1687,1198,936,29401,633,521,386,223,190,136,62,33,41,72,26077,1
1998,24753,28342,29494,30080,30296,31843,33144,33983,34724,33813,32322,24257,30674,29727,29599,28759,27978,28127,27385,27576,26608,26098,23995,25825,26611,27735,28083,27824,28309,26567,27805,26921,25675,24307,26282,25635,25007,25197,24132,24449,22894,22780,22924,23024,25359,22310,21437,21208,19033,18149,17891,15637,15422,15975,15357,26628,14457,14898,14505,13999,13602,13431,13113,13407,13235,12778,27141,12728,12734,12552,12163,11782,11677,10650,10630,9894,8718,27298,7229,7708,6699,6526,5990,5114,4372,3726,3084,2342,27126,1816,1574,1111,835,717,502,294,244,106,183,25564,26427,29377,31416,31644,32251,33579,34838,35630,36931,35761,32579,25962,31670,30658,30181,30350,29481,29414,27631,27208,26138,26234,25517,25197,25849,26833,26623,27331,26771,26319,27166,25950,25644,25849,25473,25719,24830,24963,24065,24561,23126,22983,23006,23043,26734,22858,22743,21686,19651,18874,17840,16603,15791,16268,15656,27556,14535,14904,14390,13533,13504,13033,12716,12655,12233,11555,28962,10534,10433,9968,9636,9207,8570,7869,7557,6871,5899,28417,4754,4719,4179,3633,3172,2659,2317,1792,1362,1006,28584,673,481,327,309,139,129,69,6,39,55,27036,1
1999,25850,27457,28492,29491,30189,30543,31649,33072,33961,33122,32883,25106,32672,30032,28787,29494,29332,27936,27826,28482,27669,27354,24696,27106,26773,27258,27644,29194,28308,27909,26856,28414,26777,24247,26203,26035,25695,25050,25248,24024,24490,22804,22716,23060,24887,23242,22126,21506,21011,19210,18113,17771,15688,15639,15768,25416,15438,14351,14786,14442,13967,13375,13244,13097,13231,12914,27015,12621,12372,12453,12139,11789,11236,11202,10317,9968,9332,27289,8250,6785,7022,6031,6111,5163,4540,3788,3189,2620,27291,1986,1378,1136,865,749,484,388,186,171,135,25905,27462,28662,29435,31495,31779,32698,33179,34828,35983,35237,34602,26866,31580,31682,29724,30454,30185,29382,28676,27696,27893,26817,26477,26665,25642,26906,27221,27474,27891,27030,26734,27134,26447,25730,25839,25844,25570,25138,25107,23934,24319,23481,23025,22797,26545,23212,23142,22582,21824,19666,18567,17806,16796,15777,16269,26719,15518,14551,14754,14028,13644,13115,12937,12635,12358,11928,27848,11103,10027,9874,9444,9276,8480,7947,7325,6840,6426,28606,5276,4143,4168,3608,3204,2572,2199,1963,1379,1209,28953,677,525,263,275,237,94,52,18,27,45,27437,1
2000,26191,27574,27581,28496,29607,30574,30298,31669,33193,32856,32493,26503,33521,32595,29608,28034,30701,29138,27499,29144,29048,28507,25558,28137,28110,27648,27064,29076,29861,27957,28647,27474,28075,24697,27609,25949,26248,25950,25067,24989,24214,24426,22723,22908,24839,23333,22864,22313,21187,21148,19235,17819,17813,15867,15347,25004,15942,15300,14329,14863,14479,13662,13168,13350,12964,12887,25876,12727,12281,12157,12105,11780,11302,10816,10887,9667,9317,26930,8779,7835,6124,6354,5732,5242,4638,3961,3170,2642,27423,2268,1597,945,903,773,493,358,281,119,180,25998,27801,29003,28870,29377,31619,32438,32152,32899,35283,34440,34089,27886,34384,31800,30503,30376,30338,30848,28266,28854,28805,29258,27347,27197,27567,27128,27498,28107,27965,28071,27524,26606,28025,26546,26699,25867,25701,26061,25370,24853,23662,24862,23572,22887,26346,22978,23463,22944,22744,21980,19095,18546,18078,16710,15742,26390,16038,15821,14344,14413,14161,13157,13044,12819,12129,12110,27164,11450,10638,9518,9452,9210,8470,7904,7432,6644,6451,27423,5747,4698,3623,3678,3266,2572,2200,1823,1510,1157,29307,825,558,327,233,200,200,17,69,54,37,27633,1
2001,26444,27645,27763,27551,28652,29961,30246,30198,31640,31948,32133,27116,33836,32934,32244,28787,29281,31539,27925,30001,30255,29930,26989,29628,29516,29436,27452,28377,30023,29093,28349,29615,26834,25580,28898,27304,26149,26378,25893,24895,25161,24198,24254,22990,25409,23294,22836,23134,21954,21510,21154,19002,18024,18117,15528,24801,15635,15801,15157,14356,14866,14178,13462,13304,13221,12623,25342,12832,12307,12084,11766,11774,11319,10853,10577,10235,9121,25769,8752,8378,7156,5488,6149,4854,4739,4063,3383,2676,26919,2281,1821,1176,738,866,516,388,244,234,205,26658,27879,29343,29159,28715,29571,32244,31752,31838,33513,33737,33412,28332,33761,35123,30460,31148,30008,31367,29944,28804,30410,30656,28632,29871,28707,29023,27886,28742,28952,28371,28855,27179,27809,27167,28035,26960,25664,26015,26291,25116,24565,24323,24928,23471,27619,23056,23438,23114,22984,22916,21295,19096,18923,17949,16734,25906,15503,16167,15612,13873,14777,13567,12967,13109,12337,12027,27127,11699,10957,10115,9010,9305,8468,7958,7526,6734,6378,26589,5772,5171,4199,3197,3357,2648,2173,1885,1358,1360,28236,769,724,327,321,167,163,115,69,56,61,28427,1
2002,27051,27330,27735,27716,27664,29149,29513,30187,30464,30797,31814,27553,32862,33571,33262,32167,31180,30774,30845,31433,31532,32009,27327,31766,31228,30630,29261,29414,29229,29112,29865,29233,28937,26965,27984,28329,27478,26453,26439,25751,24941,25202,24143,24586,26459,23274,22770,23180,22762,22272,21495,20806,19084,18351,17731,25425,15894,15486,15713,15226,14374,14442,14025,13688,13166,12863,25363,12516,12432,12237,11755,11470,11251,10875,10674,9932,9706,25166,8690,8360,7637,6532,5355,5142,4474,4123,3524,2922,25787,2335,1849,1378,965,727,588,400,274,191,348,26694,28311,28306,29559,28911,29013,30325,31369,31495,32575,32212,32762,28794,33493,34294,34152,32019,31334,30804,30775,31225,31067,32229,28814,31622,31169,30653,29762,29171,29202,28972,29130,28632,28594,28316,27737,28070,27063,26305,26126,25903,24751,25202,24238,24887,28086,23715,23504,23138,23115,23113,22256,21287,19600,18808,17876,27112,16516,15808,15885,15089,14261,14110,13446,13044,12534,12156,26649,11529,11094,10470,9643,8983,8531,7918,7591,6826,6511,26530,5629,5246,4657,3779,2972,2669,2254,1858,1428,1235,27513,933,667,451,319,247,141,80,69,41,94,27805,1
2003,26739,26165,27555,27936,27810,27852,29117,29491,30104,29898,30218,27265,32034,33740,34687,33684,32829,32126,32054,31561,31272,31801,27713,32909,32627,31689,31145,29504,30017,29683,29562,30127,29583,27776,29118,28268,28645,27716,26523,26639,25966,24928,25071,24189,27753,24643,23284,22637,23227,22789,22318,21422,20630,19056,18180,26488,17687,15799,15442,15628,15054,14280,14359,13934,13509,12927,25627,12745,12317,12253,11894,11434,11129,10870,10562,10191,9499,25452,9200,8172,7744,7133,6078,4857,4570,3892,3602,2984,25530,2437,1968,1519,1085,713,533,436,268,183,273,29407,27889,27771,28555,29837,28991,29216,30445,31341,31413,31341,31333,28435,32169,33623,34688,33849,32676,31791,32027,31238,31974,31555,28700,32911,31961,31605,31239,30469,29959,29572,29262,29477,29179,29360,28737,28075,28216,27333,26543,26395,26115,24828,25224,24295,28646,25191,23659,23504,23103,23031,23128,22337,21311,19414,18757,28432,17768,16557,15755,15692,14884,14000,13801,13123,12764,12276,27257,11857,11115,10792,10170,9235,8541,8021,7437,7007,6254,26878,6021,5092,4725,4147,3377,2555,2176,1853,1559,1177,26596,1109,731,487,276,215,198,96,43,43,82,31047,1
2004,29534,25472,26270,27622,28042,27956,27625,29217,29527,29408,29898,26588,31475,32790,34373,35166,34086,33122,33305,33106,31659,31298,26971,32357,33792,32977,32374,31881,30165,30571,29874,29868,30576,28797,29529,29039,28595,28721,27645,26774,26832,25935,24817,25218,27956,24377,24564,23145,22725,23181,22792,22103,21233,20491,18808,27551,18268,17515,15755,15317,15373,14944,14094,14280,13684,13180,26830,12833,12592,12184,11867,11644,11157,10688,10519,10065,9756,25411,9045,8710,7586,7199,6646,5563,4226,4057,3440,3034,26004,2548,2018,1641,1212,796,533,376,296,212,252,30151,31266,26844,27826,28810,30049,29291,29051,30227,31073,30732,31630,27761,31349,32162,34405,35155,35134,33379,32210,31916,32252,33188,28228,32138,32795,32905,31739,32173,31725,30476,29756,30292,30152,29953,29139,29139,28195,28545,27443,26796,26574,26141,24903,25245,29235,24761,25144,23672,23359,23156,22862,22977,22374,21060,19188,29046,18690,17811,16315,15571,15370,14699,13604,13476,12930,12571,28569,12063,11459,10852,10402,9818,8732,7994,7678,6917,6492,27177,5827,5543,4586,4185,3775,2949,2072,1812,1602,1203,27149,995,889,598,350,226,174,137,69,58,77,31452,1
2005,29856,25792,25765,26550,27649,28615,27661,27660,29213,29184,29236,29053,31870,31894,34426,34791,36519,35462,35548,34211,33878,31963,27987,32583,33656,34512,33417,32858,32481,31054,30546,29823,30449,28385,30680,29453,29677,28787,28472,28023,26915,26876,25726,25028,28796,25439,24405,24320,23328,22673,23379,22620,21908,21224,20318,27546,19022,18153,17409,15643,15135,15518,14670,14136,14030,13361,27587,13173,12644,12442,11778,11654,11404,10748,10304,10069,9701,26310,9302,8492,8136,7068,6714,6084,4878,3677,3677,2892,26026,2652,2089,1676,1343,865,616,421,249,252,305,29563,31492,27637,26862,28192,28727,30549,28897,29022,30059,30715,31116,30886,32231,31524,34270,34480,37476,36735,35330,33461,34538,34077,28651,34749,32631,34824,33111,33433,33909,32397,30158,30504,30816,29167,30069,29897,29473,28692,28929,27748,27217,26699,26300,24888,29407,25859,24553,25172,23638,23672,23249,22815,22957,22101,20855,29607,19105,18749,17387,16073,15409,15303,14403,13366,13358,12698,29312,12318,11588,11255,10426,10089,9284,8174,7713,7096,6496,28558,6078,5383,5009,3991,3812,3323,2430,1723,1649,1263,27464,1024,832,592,369,245,212,135,80,68,76,31490,0
2006,29341,26418,26212,26045,26731,28067,28222,27762,27682,28773,29780,29688,32021,32537,34170,35984,37288,38692,38609,37291,35620,34823,29608,34500,34459,34345,34480,33705,33504,32576,30671,30540,30394,29265,30472,30805,29990,29543,28534,29064,28186,26567,26542,25992,28380,25327,25262,24209,24322,23139,22782,22970,22281,21681,20946,28349,20303,18684,17812,17120,15218,14886,14965,14412,13578,13545,28403,13224,12844,12381,11808,11430,11208,10914,10231,9730,9686,27821,9239,8668,7910,7542,6574,6069,5375,4341,3339,3075,27473,2514,2157,1778,1364,977,711,481,281,210,401,29779,31113,28114,27654,27526,28371,29041,30070,29043,28915,29629,31001,31014,32441,33463,34836,36953,37842,39941,40002,37745,36459,36010,30863,35645,35564,35150,35486,34545,34466,33763,31895,31330,31300,30371,30985,30692,30288,29676,28792,29063,28165,27031,26762,26388,29817,25521,25511,24595,24802,23693,23436,22955,22699,22426,21713,29896,20806,18991,18086,17043,15715,15044,14786,13992,13168,12869,30049,12326,11670,11254,10595,9931,9428,8646,7930,7016,6650,29340,6118,5537,4789,4362,3650,3279,2743,2081,1576,1271,29007,1084,785,588,443,319,217,137,80,66,86,31302,0
2007,29623,27941,26756,26480,26331,27080,28579,28807,28293,28301,29995,29399,32060,35458,36952,39003,40594,40425,40943,40250,38700,36916,29870,35976,35353,35157,35002,35291,34638,34288,33071,31069,30918,29945,30841,30978,31250,30369,29785,28808,29347,28409,26719,26786,29915,26297,25560,25432,24257,24258,23081,22760,22949,22283,21625,29091,20923,20262,18638,17752,16962,15046,14670,14780,14281,13424,29013,13375,13002,12589,12159,11465,11116,10835,10556,9843,9299,28999,9273,8740,8168,7371,6989,5959,5415,4842,3848,2875,28354,2616,2085,1770,1495,1157,767,527,352,170,328,32213,31404,29335,28322,27893,27743,28593,29311,30351,29075,28625,30111,31456,33408,36321,37870,39094,40940,40601,42312,42049,39497,38096,31335,37389,37099,37135,36419,36511,35649,35729,34999,32894,32064,31127,31836,31400,31057,30603,29967,29246,29433,28304,27172,27011,30797,26728,25621,25582,24628,24840,23706,23428,22970,22695,22357,30457,21597,20694,18973,18008,16865,15471,14824,14641,13875,13082,30397,12624,11984,11276,10788,10200,9549,9015,8298,7489,6492,30496,6176,5602,5050,4339,3882,3175,2815,2343,1747,1315,29715,1026,828,606,412,333,230,130,106,43,68,34101,0
