STATISTIC Label,Year,Age Group,Sex,Inward or Outward Flow,UNIT,VALUE
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Net migration,Thousand,3.0
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.6
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Immigrants: All origins,Thousand,3.6
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Net migration,Thousand,2.7
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Immigrants: All origins,Thousand,3.1
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Net migration,Thousand,-4.999999999999999
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Emigrants: All destinations,Thousand,11.7
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Immigrants: All origins,Thousand,6.7
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Net migration,Thousand,-5.6000000000000005
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.8
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Immigrants: All origins,Thousand,4.2
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Net migration,Thousand,5.1
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Emigrants: All destinations,Thousand,3.0
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Immigrants: All origins,Thousand,8.1
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Net migration,Thousand,3.5999999999999996
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Emigrants: All destinations,Thousand,5.1
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Immigrants: All origins,Thousand,8.7
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Net migration,Thousand,0.6000000000000001
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.7
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Immigrants: All origins,Thousand,1.3
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Net migration,Thousand,2.2
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Immigrants: All origins,Thousand,2.2
Estimated Migration (Persons in April),1996,65 years and over,Female,Net migration,Thousand,0.6
Estimated Migration (Persons in April),1996,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,65 years and over,Female,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),1996,65 years and over,Male,Net migration,Thousand,0.6
Estimated Migration (Persons in April),1996,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,65 years and over,Male,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Net migration,Thousand,3.3
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.2
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Immigrants: All origins,Thousand,3.5
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Net migration,Thousand,2.8
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.1
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Immigrants: All origins,Thousand,2.9
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Net migration,Thousand,-2.6000000000000005
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Emigrants: All destinations,Thousand,10.4
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Immigrants: All origins,Thousand,7.8
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Net migration,Thousand,-3.0999999999999996
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.0
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Immigrants: All origins,Thousand,5.9
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Net migration,Thousand,6.3999999999999995
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Emigrants: All destinations,Thousand,2.2
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Immigrants: All origins,Thousand,8.6
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Net migration,Thousand,6.199999999999999
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Emigrants: All destinations,Thousand,3.4
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Immigrants: All origins,Thousand,9.6
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Net migration,Thousand,2.0
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Immigrants: All origins,Thousand,2.0
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Net migration,Thousand,2.7
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Immigrants: All origins,Thousand,2.7
Estimated Migration (Persons in April),1997,65 years and over,Female,Net migration,Thousand,0.7
Estimated Migration (Persons in April),1997,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,65 years and over,Female,Immigrants: All origins,Thousand,0.7
Estimated Migration (Persons in April),1997,65 years and over,Male,Net migration,Thousand,0.8
Estimated Migration (Persons in April),1997,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,65 years and over,Male,Immigrants: All origins,Thousand,0.8
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Net migration,Thousand,2.8999999999999995
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Emigrants: All destinations,Thousand,1.2
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Immigrants: All origins,Thousand,4.1
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Net migration,Thousand,3.0
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Immigrants: All origins,Thousand,3.4
Estimated Migration (Persons in April),1998,15 - 24 years,Female,Net migration,Thousand,-3.6000000000000005
Estimated Migration (Persons in April),1998,15 - 24 years,Female,Emigrants: All destinations,Thousand,10.9
Estimated Migration (Persons in April),1998,15 - 24 years,Female,Immigrants: All origins,Thousand,7.3
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Net migration,Thousand,-5.0
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Emigrants: All destinations,Thousand,10.1
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Immigrants: All origins,Thousand,5.1
Estimated Migration (Persons in April),1998,25 - 44 years,Female,Net migration,Thousand,6.300000000000001
Estimated Migration (Persons in April),1998,25 - 44 years,Female,Emigrants: All destinations,Thousand,2.5
Estimated Migration (Persons in April),1998,25 - 44 years,Female,Immigrants: All origins,Thousand,8.8
Estimated Migration (Persons in April),1998,25 - 44 years,Male,Net migration,Thousand,7.8999999999999995
Estimated Migration (Persons in April),1998,25 - 44 years,Male,Emigrants: All destinations,Thousand,3.2
Estimated Migration (Persons in April),1998,25 - 44 years,Male,Immigrants: All origins,Thousand,11.1
Estimated Migration (Persons in April),1998,45 - 64 years,Female,Net migration,Thousand,2.2
Estimated Migration (Persons in April),1998,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1998,45 - 64 years,Female,Immigrants: All origins,Thousand,2.2
Estimated Migration (Persons in April),1998,45 - 64 years,Male,Net migration,Thousand,1.9000000000000001
Estimated Migration (Persons in April),1998,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.2
Estimated Migration (Persons in April),1998,45 - 64 years,Male,Immigrants: All origins,Thousand,2.1
Estimated Migration (Persons in April),1998,65 years and over,Female,Net migration,Thousand,0.9
Estimated Migration (Persons in April),1998,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1998,65 years and over,Female,Immigrants: All origins,Thousand,0.9
Estimated Migration (Persons in April),1998,65 years and over,Male,Net migration,Thousand,0.9
Estimated Migration (Persons in April),1998,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1998,65 years and over,Male,Immigrants: All origins,Thousand,0.9
Estimated Migration (Persons in April),1999,0 - 14 years,Female,Net migration,Thousand,3.4
Estimated Migration (Persons in April),1999,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1999,0 - 14 years,Female,Immigrants: All origins,Thousand,3.4
Estimated Migration (Persons in April),1999,0 - 14 years,Male,Net migration,Thousand,3.6
Estimated Migration (Persons in April),1999,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1999,0 - 14 years,Male,Immigrants: All origins,Thousand,3.6
Estimated Migration (Persons in April),1999,15 - 24 years,Female,Net migration,Thousand,-3.5
Estimated Migration (Persons in April),1999,15 - 24 years,Female,Emigrants: All destinations,Thousand,12.7
Estimated Migration (Persons in April),1999,15 - 24 years,Female,Immigrants: All origins,Thousand,9.2
Estimated Migration (Persons in April),1999,15 - 24 years,Male,Net migration,Thousand,-4.300000000000001
Estimated Migration (Persons in April),1999,15 - 24 years,Male,Emigrants: All destinations,Thousand,10.4
Estimated Migration (Persons in April),1999,15 - 24 years,Male,Immigrants: All origins,Thousand,6.1
Estimated Migration (Persons in April),1999,25 - 44 years,Female,Net migration,Thousand,6.9
Estimated Migration (Persons in April),1999,25 - 44 years,Female,Emigrants: All destinations,Thousand,3.0
Estimated Migration (Persons in April),1999,25 - 44 years,Female,Immigrants: All origins,Thousand,9.9
Estimated Migration (Persons in April),1999,25 - 44 years,Male,Net migration,Thousand,7.1
Estimated Migration (Persons in April),1999,25 - 44 years,Male,Emigrants: All destinations,Thousand,4.6
Estimated Migration (Persons in April),1999,25 - 44 years,Male,Immigrants: All origins,Thousand,11.7
Estimated Migration (Persons in April),1999,45 - 64 years,Female,Net migration,Thousand,1.3
Estimated Migration (Persons in April),1999,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.3
Estimated Migration (Persons in April),1999,45 - 64 years,Female,Immigrants: All origins,Thousand,1.6
Estimated Migration (Persons in April),1999,45 - 64 years,Male,Net migration,Thousand,2.5
Estimated Migration (Persons in April),1999,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1999,45 - 64 years,Male,Immigrants: All origins,Thousand,2.5
Estimated Migration (Persons in April),1999,65 years and over,Female,Net migration,Thousand,0.19999999999999998
Estimated Migration (Persons in April),1999,65 years and over,Female,Emigrants: All destinations,Thousand,0.1
Estimated Migration (Persons in April),1999,65 years and over,Female,Immigrants: All origins,Thousand,0.3
Estimated Migration (Persons in April),1999,65 years and over,Male,Net migration,Thousand,0.19999999999999996
Estimated Migration (Persons in April),1999,65 years and over,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),1999,65 years and over,Male,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),2000,0 - 14 years,Female,Net migration,Thousand,3.6
Estimated Migration (Persons in April),2000,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2000,0 - 14 years,Female,Immigrants: All origins,Thousand,3.6
Estimated Migration (Persons in April),2000,0 - 14 years,Male,Net migration,Thousand,3.6
Estimated Migration (Persons in April),2000,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2000,0 - 14 years,Male,Immigrants: All origins,Thousand,3.6
Estimated Migration (Persons in April),2000,15 - 24 years,Female,Net migration,Thousand,-1.0999999999999996
Estimated Migration (Persons in April),2000,15 - 24 years,Female,Emigrants: All destinations,Thousand,11.2
Estimated Migration (Persons in April),2000,15 - 24 years,Female,Immigrants: All origins,Thousand,10.1
Estimated Migration (Persons in April),2000,15 - 24 years,Male,Net migration,Thousand,-3.3999999999999995
Estimated Migration (Persons in April),2000,15 - 24 years,Male,Emigrants: All destinations,Thousand,10.2
Estimated Migration (Persons in April),2000,15 - 24 years,Male,Immigrants: All origins,Thousand,6.8
Estimated Migration (Persons in April),2000,25 - 44 years,Female,Net migration,Thousand,8.7
Estimated Migration (Persons in April),2000,25 - 44 years,Female,Emigrants: All destinations,Thousand,2.0
Estimated Migration (Persons in April),2000,25 - 44 years,Female,Immigrants: All origins,Thousand,10.7
Estimated Migration (Persons in April),2000,25 - 44 years,Male,Net migration,Thousand,10.1
Estimated Migration (Persons in April),2000,25 - 44 years,Male,Emigrants: All destinations,Thousand,2.6
Estimated Migration (Persons in April),2000,25 - 44 years,Male,Immigrants: All origins,Thousand,12.7
Estimated Migration (Persons in April),2000,45 - 64 years,Female,Net migration,Thousand,1.2999999999999998
Estimated Migration (Persons in April),2000,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.1
Estimated Migration (Persons in April),2000,45 - 64 years,Female,Immigrants: All origins,Thousand,1.4
Estimated Migration (Persons in April),2000,45 - 64 years,Male,Net migration,Thousand,2.6
Estimated Migration (Persons in April),2000,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2000,45 - 64 years,Male,Immigrants: All origins,Thousand,2.6
Estimated Migration (Persons in April),2000,65 years and over,Female,Net migration,Thousand,0.3
Estimated Migration (Persons in April),2000,65 years and over,Female,Emigrants: All destinations,Thousand,0.3
Estimated Migration (Persons in April),2000,65 years and over,Female,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),2000,65 years and over,Male,Net migration,Thousand,0.3
Estimated Migration (Persons in April),2000,65 years and over,Male,Emigrants: All destinations,Thousand,0.3
Estimated Migration (Persons in April),2000,65 years and over,Male,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),2001,0 - 14 years,Female,Net migration,Thousand,3.8
Estimated Migration (Persons in April),2001,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,0 - 14 years,Female,Immigrants: All origins,Thousand,3.8
Estimated Migration (Persons in April),2001,0 - 14 years,Male,Net migration,Thousand,4.1
Estimated Migration (Persons in April),2001,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,0 - 14 years,Male,Immigrants: All origins,Thousand,4.1
Estimated Migration (Persons in April),2001,15 - 24 years,Female,Net migration,Thousand,-1.5
Estimated Migration (Persons in April),2001,15 - 24 years,Female,Emigrants: All destinations,Thousand,11.3
Estimated Migration (Persons in April),2001,15 - 24 years,Female,Immigrants: All origins,Thousand,9.8
Estimated Migration (Persons in April),2001,15 - 24 years,Male,Net migration,Thousand,-3.3000000000000007
Estimated Migration (Persons in April),2001,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.9
Estimated Migration (Persons in April),2001,15 - 24 years,Male,Immigrants: All origins,Thousand,6.6
Estimated Migration (Persons in April),2001,25 - 44 years,Female,Net migration,Thousand,11.2
Estimated Migration (Persons in April),2001,25 - 44 years,Female,Emigrants: All destinations,Thousand,2.0
Estimated Migration (Persons in April),2001,25 - 44 years,Female,Immigrants: All origins,Thousand,13.2
Estimated Migration (Persons in April),2001,25 - 44 years,Male,Net migration,Thousand,13.9
Estimated Migration (Persons in April),2001,25 - 44 years,Male,Emigrants: All destinations,Thousand,2.4
Estimated Migration (Persons in April),2001,25 - 44 years,Male,Immigrants: All origins,Thousand,16.3
Estimated Migration (Persons in April),2001,45 - 64 years,Female,Net migration,Thousand,1.8
Estimated Migration (Persons in April),2001,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,45 - 64 years,Female,Immigrants: All origins,Thousand,1.8
Estimated Migration (Persons in April),2001,45 - 64 years,Male,Net migration,Thousand,2.5
Estimated Migration (Persons in April),2001,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2001,45 - 64 years,Male,Immigrants: All origins,Thousand,2.5
Estimated Migration (Persons in April),2001,65 years and over,Female,Net migration,Thousand,0.0
Estimated Migration (Persons in April),2001,65 years and over,Female,Emigrants: All destinations,Thousand,0.3
Estimated Migration (Persons in April),2001,65 years and over,Female,Immigrants: All origins,Thousand,0.3
Estimated Migration (Persons in April),2001,65 years and over,Male,Net migration,Thousand,0.09999999999999998
Estimated Migration (Persons in April),2001,65 years and over,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),2001,65 years and over,Male,Immigrants: All origins,Thousand,0.5
Estimated Migration (Persons in April),2002,0 - 14 years,Female,Net migration,Thousand,2.5999999999999996
Estimated Migration (Persons in April),2002,0 - 14 years,Female,Emigrants: All destinations,Thousand,1.2
Estimated Migration (Persons in April),2002,0 - 14 years,Female,Immigrants: All origins,Thousand,3.8
Estimated Migration (Persons in April),2002,0 - 14 years,Male,Net migration,Thousand,2.0
Estimated Migration (Persons in April),2002,0 - 14 years,Male,Emigrants: All destinations,Thousand,1.2
Estimated Migration (Persons in April),2002,0 - 14 years,Male,Immigrants: All origins,Thousand,3.2
Estimated Migration (Persons in April),2002,15 - 24 years,Female,Net migration,Thousand,2.0
Estimated Migration (Persons in April),2002,15 - 24 years,Female,Emigrants: All destinations,Thousand,9.8
Estimated Migration (Persons in April),2002,15 - 24 years,Female,Immigrants: All origins,Thousand,11.8
Estimated Migration (Persons in April),2002,15 - 24 years,Male,Net migration,Thousand,-1.0
Estimated Migration (Persons in April),2002,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.0
Estimated Migration (Persons in April),2002,15 - 24 years,Male,Immigrants: All origins,Thousand,8.0
Estimated Migration (Persons in April),2002,25 - 44 years,Female,Net migration,Thousand,16.3
Estimated Migration (Persons in April),2002,25 - 44 years,Female,Emigrants: All destinations,Thousand,1.4
Estimated Migration (Persons in April),2002,25 - 44 years,Female,Immigrants: All origins,Thousand,17.7
Estimated Migration (Persons in April),2002,25 - 44 years,Male,Net migration,Thousand,15.8
Estimated Migration (Persons in April),2002,25 - 44 years,Male,Emigrants: All destinations,Thousand,1.7
Estimated Migration (Persons in April),2002,25 - 44 years,Male,Immigrants: All origins,Thousand,17.5
Estimated Migration (Persons in April),2002,45 - 64 years,Female,Net migration,Thousand,1.7999999999999998
Estimated Migration (Persons in April),2002,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.1
Estimated Migration (Persons in April),2002,45 - 64 years,Female,Immigrants: All origins,Thousand,1.9
Estimated Migration (Persons in April),2002,45 - 64 years,Male,Net migration,Thousand,2.3
Estimated Migration (Persons in April),2002,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2002,45 - 64 years,Male,Immigrants: All origins,Thousand,2.3
Estimated Migration (Persons in April),2002,65 years and over,Female,Net migration,Thousand,0.09999999999999998
Estimated Migration (Persons in April),2002,65 years and over,Female,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),2002,65 years and over,Female,Immigrants: All origins,Thousand,0.5
Estimated Migration (Persons in April),2002,65 years and over,Male,Net migration,Thousand,-0.5
Estimated Migration (Persons in April),2002,65 years and over,Male,Emigrants: All destinations,Thousand,0.8
Estimated Migration (Persons in April),2002,65 years and over,Male,Immigrants: All origins,Thousand,0.3
Estimated Migration (Persons in April),2003,0 - 14 years,Female,Net migration,Thousand,3.5
Estimated Migration (Persons in April),2003,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.2
Estimated Migration (Persons in April),2003,0 - 14 years,Female,Immigrants: All origins,Thousand,3.7
Estimated Migration (Persons in April),2003,0 - 14 years,Male,Net migration,Thousand,2.9000000000000004
Estimated Migration (Persons in April),2003,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.7
Estimated Migration (Persons in April),2003,0 - 14 years,Male,Immigrants: All origins,Thousand,3.6
Estimated Migration (Persons in April),2003,15 - 24 years,Female,Net migration,Thousand,2.1000000000000005
Estimated Migration (Persons in April),2003,15 - 24 years,Female,Emigrants: All destinations,Thousand,7.7
Estimated Migration (Persons in April),2003,15 - 24 years,Female,Immigrants: All origins,Thousand,9.8
Estimated Migration (Persons in April),2003,15 - 24 years,Male,Net migration,Thousand,-1.5000000000000009
Estimated Migration (Persons in April),2003,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.3
Estimated Migration (Persons in April),2003,15 - 24 years,Male,Immigrants: All origins,Thousand,7.8
Estimated Migration (Persons in April),2003,25 - 44 years,Female,Net migration,Thousand,9.6
Estimated Migration (Persons in April),2003,25 - 44 years,Female,Emigrants: All destinations,Thousand,3.1
Estimated Migration (Persons in April),2003,25 - 44 years,Female,Immigrants: All origins,Thousand,12.7
Estimated Migration (Persons in April),2003,25 - 44 years,Male,Net migration,Thousand,10.3
Estimated Migration (Persons in April),2003,25 - 44 years,Male,Emigrants: All destinations,Thousand,5.7
Estimated Migration (Persons in April),2003,25 - 44 years,Male,Immigrants: All origins,Thousand,16.0
Estimated Migration (Persons in April),2003,45 - 64 years,Female,Net migration,Thousand,1.0
Estimated Migration (Persons in April),2003,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.7
Estimated Migration (Persons in April),2003,45 - 64 years,Female,Immigrants: All origins,Thousand,1.7
Estimated Migration (Persons in April),2003,45 - 64 years,Male,Net migration,Thousand,2.8
Estimated Migration (Persons in April),2003,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.6
Estimated Migration (Persons in April),2003,45 - 64 years,Male,Immigrants: All origins,Thousand,3.4
Estimated Migration (Persons in April),2003,65 years and over,Female,Net migration,Thousand,0.09999999999999998
Estimated Migration (Persons in April),2003,65 years and over,Female,Emigrants: All destinations,Thousand,0.6
Estimated Migration (Persons in April),2003,65 years and over,Female,Immigrants: All origins,Thousand,0.7
Estimated Migration (Persons in April),2003,65 years and over,Male,Net migration,Thousand,0.0
Estimated Migration (Persons in April),2003,65 years and over,Male,Emigrants: All destinations,Thousand,0.7
Estimated Migration (Persons in April),2003,65 years and over,Male,Immigrants: All origins,Thousand,0.7
Estimated Migration (Persons in April),2004,0 - 14 years,Female,Net migration,Thousand,1.8000000000000003
Estimated Migration (Persons in April),2004,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.9
Estimated Migration (Persons in April),2004,0 - 14 years,Female,Immigrants: All origins,Thousand,2.7
Estimated Migration (Persons in April),2004,0 - 14 years,Male,Net migration,Thousand,2.9
Estimated Migration (Persons in April),2004,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.6
Estimated Migration (Persons in April),2004,0 - 14 years,Male,Immigrants: All origins,Thousand,3.5
Estimated Migration (Persons in April),2004,15 - 24 years,Female,Net migration,Thousand,2.8
Estimated Migration (Persons in April),2004,15 - 24 years,Female,Emigrants: All destinations,Thousand,7.8
Estimated Migration (Persons in April),2004,15 - 24 years,Female,Immigrants: All origins,Thousand,10.6
Estimated Migration (Persons in April),2004,15 - 24 years,Male,Net migration,Thousand,1.7999999999999998
Estimated Migration (Persons in April),2004,15 - 24 years,Male,Emigrants: All destinations,Thousand,6.3
Estimated Migration (Persons in April),2004,15 - 24 years,Male,Immigrants: All origins,Thousand,8.1
Estimated Migration (Persons in April),2004,25 - 44 years,Female,Net migration,Thousand,8.6
Estimated Migration (Persons in April),2004,25 - 44 years,Female,Emigrants: All destinations,Thousand,3.9
Estimated Migration (Persons in April),2004,25 - 44 years,Female,Immigrants: All origins,Thousand,12.5
Estimated Migration (Persons in April),2004,25 - 44 years,Male,Net migration,Thousand,11.0
Estimated Migration (Persons in April),2004,25 - 44 years,Male,Emigrants: All destinations,Thousand,5.3
Estimated Migration (Persons in April),2004,25 - 44 years,Male,Immigrants: All origins,Thousand,16.3
Estimated Migration (Persons in April),2004,45 - 64 years,Female,Net migration,Thousand,0.8
Estimated Migration (Persons in April),2004,45 - 64 years,Female,Emigrants: All destinations,Thousand,1.0
Estimated Migration (Persons in April),2004,45 - 64 years,Female,Immigrants: All origins,Thousand,1.8
Estimated Migration (Persons in April),2004,45 - 64 years,Male,Net migration,Thousand,2.0
Estimated Migration (Persons in April),2004,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),2004,45 - 64 years,Male,Immigrants: All origins,Thousand,2.4
Estimated Migration (Persons in April),2004,65 years and over,Female,Net migration,Thousand,0.0
Estimated Migration (Persons in April),2004,65 years and over,Female,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),2004,65 years and over,Female,Immigrants: All origins,Thousand,0.4
Estimated Migration (Persons in April),2004,65 years and over,Male,Net migration,Thousand,0.3
Estimated Migration (Persons in April),2004,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),2004,65 years and over,Male,Immigrants: All origins,Thousand,0.3
Estimated Migration (Persons in April),2005,0 - 14 years,Female,Net migration,Thousand,2.6999999999999997
Estimated Migration (Persons in April),2005,0 - 14 years,Female,Emigrants: All destinations,Thousand,1.1
Estimated Migration (Persons in April),2005,0 - 14 years,Female,Immigrants: All origins,Thousand,3.8
Estimated Migration (Persons in April),2005,0 - 14 years,Male,Net migration,Thousand,3.1
Estimated Migration (Persons in April),2005,0 - 14 years,Male,Emigrants: All destinations,Thousand,1.1
Estimated Migration (Persons in April),2005,0 - 14 years,Male,Immigrants: All origins,Thousand,4.2
Estimated Migration (Persons in April),2005,15 - 24 years,Female,Net migration,Thousand,5.1
Estimated Migration (Persons in April),2005,15 - 24 years,Female,Emigrants: All destinations,Thousand,7.6
Estimated Migration (Persons in April),2005,15 - 24 years,Female,Immigrants: All origins,Thousand,12.7
Estimated Migration (Persons in April),2005,15 - 24 years,Male,Net migration,Thousand,4.8999999999999995
Estimated Migration (Persons in April),2005,15 - 24 years,Male,Emigrants: All destinations,Thousand,6.7
Estimated Migration (Persons in April),2005,15 - 24 years,Male,Immigrants: All origins,Thousand,11.6
